order_key,order_id,order_date_key,ship_date_key
1,CA-2016-152156,20161108,20161111
2,CA-2016-138688,20160612,20160616
3,US-2015-108966,20151011,20151018
4,CA-2014-115812,20140609,20140614
5,CA-2017-114412,20170415,20170420
6,CA-2016-161389,20161205,20161210
7,US-2015-118983,20151122,20151126
8,CA-2014-105893,20141111,20141118
9,CA-2014-167164,20140513,20140515
10,CA-2014-143336,20140827,20140901
11,CA-2016-137330,20161209,20161213
12,US-2017-156909,20170716,20170718
13,CA-2015-106320,20150925,20150930
14,CA-2016-121755,20160116,20160120
15,US-2015-150630,20150917,20150921
16,CA-2017-107727,20171019,20171023
17,CA-2016-117590,20161208,20161210
18,CA-2015-117415,20151227,20151231
19,CA-2017-120999,20170910,20170915
20,CA-2016-101343,20160717,20160722
21,CA-2017-139619,20170919,20170923
22,CA-2016-118255,20160311,20160313
23,CA-2014-146703,20141020,20141025
24,CA-2016-169194,20160620,20160625
25,CA-2015-115742,20150418,20150422
26,CA-2016-105816,20161211,20161217
27,CA-2016-111682,20160617,20160618
28,CA-2015-135545,20151124,20151130
29,US-2015-164175,20150430,20150505
30,CA-2014-106376,20141205,20141210
31,CA-2016-119823,20160604,20160606
32,CA-2016-106075,20160918,20160923
33,CA-2017-114440,20170914,20170917
34,US-2015-134026,20150426,20150502
35,US-2017-118038,20171209,20171211
36,US-2014-147606,20141126,20141201
37,CA-2016-127208,20160612,20160615
38,CA-2014-139451,20141012,20141016
39,CA-2015-149734,20150903,20150908
40,US-2017-119662,20171113,20171116
41,CA-2017-140088,20170528,20170530
42,CA-2017-155558,20171026,20171102
43,CA-2016-159695,20160405,20160410
44,CA-2016-109806,20160917,20160922
45,CA-2015-149587,20150131,20150205
46,US-2017-109484,20171106,20171112
47,CA-2017-161018,20171109,20171111
48,CA-2017-157833,20170617,20170620
49,CA-2016-149223,20160906,20160911
50,CA-2016-158568,20160829,20160902
51,CA-2016-129903,20161201,20161204
52,US-2015-156867,20151113,20151117
53,CA-2017-119004,20171123,20171128
54,CA-2015-129476,20151015,20151020
55,CA-2017-146780,20171225,20171230
56,CA-2016-128867,20161103,20161110
57,CA-2014-115259,20140825,20140827
58,CA-2015-110457,20150302,20150306
59,US-2015-136476,20150405,20150410
60,CA-2016-103730,20160612,20160615
61,US-2014-152030,20141226,20141228
62,US-2014-134614,20140920,20140925
63,US-2017-107272,20171105,20171112
64,US-2016-125969,20161106,20161110
65,US-2017-164147,20170202,20170205
66,CA-2016-145583,20161013,20161019
67,CA-2016-110366,20160905,20160907
68,CA-2017-106180,20170918,20170923
69,CA-2017-155376,20171222,20171227
70,CA-2015-110744,20150907,20150912
71,CA-2014-110072,20141022,20141028
72,CA-2016-114489,20161205,20161209
73,CA-2016-158834,20160313,20160316
74,CA-2015-124919,20150531,20150602
75,CA-2015-118948,20150528,20150603
76,CA-2014-104269,20140301,20140306
77,CA-2016-114104,20161120,20161124
78,CA-2016-162733,20160511,20160512
79,CA-2015-119697,20151228,20151231
80,CA-2016-154508,20161116,20161120
81,CA-2016-113817,20161107,20161111
82,CA-2014-139892,20140908,20140912
83,CA-2014-118962,20140805,20140809
84,US-2014-100853,20140914,20140919
85,US-2017-152366,20170421,20170425
86,US-2015-101511,20151121,20151123
87,CA-2015-137225,20151215,20151219
88,CA-2014-166191,20141205,20141209
89,CA-2014-158274,20141119,20141124
90,CA-2016-105018,20161128,20161202
91,CA-2014-123260,20140826,20140830
92,CA-2016-157000,20160716,20160722
93,CA-2015-102281,20151012,20151014
94,CA-2015-131457,20151031,20151106
95,CA-2014-140004,20140321,20140325
96,CA-2017-107720,20171106,20171113
97,US-2017-124303,20170706,20170713
98,CA-2017-105074,20170624,20170629
99,CA-2014-133690,20140803,20140805
100,US-2017-116701,20171217,20171221
101,CA-2017-126382,20170603,20170607
102,CA-2017-108329,20171209,20171214
103,CA-2017-135860,20171201,20171207
104,CA-2015-101007,20150209,20150213
105,CA-2015-146262,20150102,20150109
106,CA-2016-130162,20161028,20161101
107,CA-2015-169397,20151224,20151227
108,CA-2015-163055,20150809,20150816
109,US-2015-145436,20150228,20150304
110,US-2014-156216,20140913,20140917
111,US-2017-100930,20170407,20170412
112,CA-2017-160514,20171112,20171116
113,CA-2016-157749,20160604,20160609
114,CA-2014-131926,20140601,20140606
115,CA-2016-154739,20161210,20161215
116,CA-2016-145625,20160911,20160917
117,CA-2016-146941,20161210,20161213
